TOKENS;AI;GAMING;MEMES;top;Symbol;1h%;24h%;7d%;Volumen (24h) USD;Volumen (24h) Tokens;ACC. CIRCULACION;CAP. USD;Precio USD;Alameda Research;Arrington XRP Capital;Binance Labs;Blockchain Capital;CMS Holdings;Coinfund;DCG;DeFiance Capital;DWF Labs;eGirl Capital;Fabric Ventures;Fenbushi Capital;Multicoin Capital;Pantera Capital;Paradigm;Placeholder Ventures;Play_To_Earn;Polychain Capital;Three Arrows Capital;USV;BITCOIN;CARDANO;ETHERIUM;SOLANA;TRON;OTHER
ZooKeeper;0;1;0;1537.0;ZOO;0.0;7.62;-25.53;1286.0;302612.0;464638994.0;1974433.0;0.004249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Puff The Dragon;0;1;1;3034.0;PUFF;0.32;-9.5;-30.53;394679.0;2183521.0;431111111.0;77924899.0;0.1808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
lmeow;0;0;1;3166.0;LMEOW;2.82;-3.97;-23.15;289225.0;18954186.0;1000000000.0;15259179.0;0.01526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VisionGame;0;1;0;1455.0;VISION;0.21;2.93;-12.1;433730.0;90144702.0;550000000.0;2645577.0;0.00481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
KING OF CATS;0;0;1;5966.0;KCAT;0.71;26.76;-7.48;1681.0;148023297.0;1000000000.0;11355.0;1,14E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Grow Token;1;0;0;3276.0;GROW;-3.39;5.21;-21.65;227430.0;500638.0;10000000.0;4542793.0;0.4543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sweat Economy;0;1;0;551.0;SWEAT;0.81;1.72;-22.38;8109864.0;907506844.0;6743185867.0;60450989.0;0.008988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BEMIL Coin;0;1;0;2306.0;BEM;0.0;2.03;11.04;656.0;20578478.0;999981241.0;31896.0;3.19e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Clown Pepe;0;0;1;5112.0;HONK;0.0;10.22;-6.55;10711.0;4640956028.0;407108815218.0;939562.0;2,31E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Derby Stars;0;1;0;4099.0;DSRUN;-0.14;-0.68;-20.24;52061.0;1376232.0;87428163.0;3307296.0;0.03783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
CHURRO-The Jupiter Dog;0;0;1;5416.0;CHURRO;0.7;4.02;-16.31;5460.0;8339516.0;998591787.0;653852.0;0.0006548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
PacMoon;0;0;1;2963.0;PAC;0.63;13.29;-0.59;484457.0;6363326.0;270067804.0;20560992.0;0.07613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sheboshis;0;0;1;1349.0;SHEB;0.58;7.92;-17.68;1401315.0;7224.0;20000.0;3869493.0;193.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Foxy;0;0;1;2470.0;FOXY;4.91;8.54;-10.34;13377309.0;1012511433.0;3000000000.0;39636023.0;0.01321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Coinye West;0;0;1;1055.0;COINYE;0.0;10.17;-4.82;120776.0;9102497.0;801244726.0;10631269.0;0.01327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Abble;0;0;1;2739.0;AABL;14.11;12.99;-18.91;1101920.0;117048036.0;1000000000.0;9414254.0;0.009414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Solordi;0;0;1;4382.0;SOLO;1.9;2.29;-11.78;30277.0;13544432.0;1000000000.0;2235399.0;0.002235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
PolkaBridge;1;0;0;993.0;PBR;7.75;-9.02;197.77;1905375.0;10472243.0;75106689.0;14080809.0;0.1875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
dogwifscarf;0;0;1;4183.0;WIFS;-1.28;16.22;-33.04;43400.0;145778601.0;980000000.0;291760.0;0.0002977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Boop;0;0;1;2952.0;BOOP;1.86;7.19;-27.31;494309.0;2424790557.0;100000000000.0;20385637.0;0.0002039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BADMAD ROBOTS;0;1;0;763.0;METAL;2.69;11.7;-25.25;348271.0;8835147.0;719299800.0;28828546.0;0.04005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
DeHub;0;1;0;1215.0;DHB;0.0;1.54;-2.04;466.0;291755.0;4075792623.0;6515561.0;0.001599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
The Sandbox;0;1;0;80.0;SAND;0.76;0.46;-28.11;100430938.0;229197420.0;2251731926.0;987423537.0;0.4386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
COGI;0;1;0;2163.0;COGI;0.0;2.95;-9.23;149.0;75023.0;61587047.0;121939.0;0.00198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Cryptopolis;0;1;0;2143.0;CPO;-0.94;-5.62;-17.99;25466.0;15980757.0;88913639.0;141688.0;0.001594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
BEFE;0;0;1;3153.0;BEFE;-0.92;-7.11;-47.56;293487.0;1745462715.0;100000000000.0;16814288.0;0.0001681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Warped Games;0;1;0;5302.0;WARPED;0.0;3.6;-14.46;6908.0;5051834.0;5436328567.0;7433837.0;0.001367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
KeyOfLife Multichain Store Of Value;0;0;1;4142.0;KOL;0.01;2.6;-17.38;47504.0;46064.0;1949741.0;2010671.0;1.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Artisse;1;1;0;1766.0;CATHEON;0.99;0.1;-21.18;23314.0;27965344.0;968534281.0;807893.0;0.0008337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MAU;0;0;1;7395.0;MAU;0.07;-4.56;25.2;55.0;997858.0;1000000000.0;55240.0;5,52E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
