top;Nombre;Precio USD;1h%;24h%;7d%;CAP. USD;ACC. CIRCULACION;Symbol;Volumen (24h) USD;Volumen (24h) Tokens;CATEGORY
359;Sleepless AI;0.9505;0.37;4.53;-20.78;133791245.0;140937500.0;AI;26418619.0;27828215.0;AI
364;Hooked Protocol;0.9506;-0.04;4.73;-12.96;132168423.0;139254295.0;HOOK;10538518.0;11107622.0;AI
369;Zignaly;0.09006;-0.08;-0.11;3.23;128985292.0;1433308739.0;ZIG;3681564.0;40907214.0;AI
390;Solidus Ai Tech;0.2139;-0.16;1.57;13.82;118134299.0;552508592.0;AITECH;7518560.0;35138666.0;AI
397;ChainGPT;0.2682;1.48;9.31;-4.23;116037148.0;432386054.0;CGPT;7149930.0;26726542.0;AI
405;dKargo;0.02992;-0.97;-7.65;-15.88;110913473.0;3716250000.0;DKA;5020940.0;167417414.0;AI
410;Victoria VR;0.02051;-0.56;0.02;-22.09;109464565.0;5336247368.0;VR;1426736.0;69535723.0;AI
415;NFPrompt;0.4277;0.24;5.7;-21.79;106811848.0;250000000.0;NFP;14209314.0;33276091.0;AI
419;TokenFi;0.1064;1.36;7.54;-7.21;106046148.0;1000019789.0;TOKEN;17887361.0;168680341.0;AI
427;CUDOS;0.01766;0.21;-0.59;-12.13;103165741.0;5843157717.0;CUDOS;911035.0;51613138.0;AI
452;Phoenix;1.88;1.25;8.74;6.29;92172919.0;49096629.0;PHB;17527187.0;9311892.0;AI
473;Forta;0.2253;1.04;-5.08;14.56;87478273.0;388388554.0;FORT;2491131.0;11070862.0;AI
480;SIDUS;0.009008;0.03;5.83;-3.57;84291355.0;9356868845.0;SIDUS;1320027.0;146526177.0;AI
484;Dimitra;0.1675;-0.13;8.47;-5.8;81418218.0;486503182.0;DMTR;1243547.0;7433106.0;AI
507;Artificial Liquid Intelligence;0.0203;0.46;-1.34;4.58;72572764.0;3588163660.0;ALI;1826936.0;90018232.0;AI
515;VAIOT;0.2181;-0.43;-1.23;-14.31;70626527.0;322295875.0;VAI;1386739.0;6354265.0;AI
527;LimeWire;1.1;0.53;6.75;-1.38;68424458.0;62352281.0;LMWR;5068575.0;4609301.0;AI
532;Cortex;0.3072;0.1;2.92;-12.36;67533052.0;220227761.0;CTXC;5161579.0;16811159.0;AI
550;Agoras: Currency of Tau;3.5;0.11;-3.62;-18.5;62947198.0;18000000.0;AGRS;570555.0;163006.0;AI
557;Verasity;0.006089;0.29;6.92;-0.33;60691914.0;10001381139.0;VRA;10995046.0;1808091253.0;AI
560;Gaimin;0.009069;0.24;5.32;-7.2;60123627.0;6634129332.0;GMRX;1399952.0;154452165.0;AI
563;Numbers Protocol;0.09825;0.28;1.75;-16.95;59859089.0;608368916.0;NUM;1211682.0;12329247.0;AI
565;Streamr;0.05783;0.52;3.45;-14.73;59409671.0;1028693853.0;DATA;4089415.0;70793682.0;AI
577;PlatON;0.01069;-0.5;-8.54;-32.03;57070208.0;5343139138.0;LAT;5676714.0;530293175.0;AI
579;DIA;0.5168;0.25;9.38;-8.86;57014755.0;110617604.0;DIA;9748495.0;18898868.0;AI
588;PaLM AI;0.7223;7.14;5.79;-7.08;56588613.0;79000000.0;PALM;2178252.0;3157475.0;AI
593;SingularityDAO;0.6415;1.87;-0.43;-10.39;52854612.0;82733204.0;SDAO;1124948.0;1762227.0;AI
598;Measurable Data Token;0.07684;-0.29;4.22;-13.71;51949388.0;676157013.0;MDT;6461929.0;84194370.0;AI
640;Zero1 Labs;0.4958;-0.25;-5.23;-24.18;45324954.0;91221244.0;DEAI;3287936.0;6630716.0;AI
645;Cere Network;0.006309;1.16;5.07;-6.97;43857771.0;6939923952.0;CERE;900177.0;142529218.0;AI
653;Sentinel Protocol;0.08551;-1.09;3.97;-13.98;42560467.0;497834800.0;UPP;1344355.0;15722663.0;AI
665;Botto;0.8953;0.5;1.54;-12.99;41032974.0;45739296.0;BOTTO;314719.0;351560.0;AI
666;iMe Lab;0.08605;0.33;-8.14;0.51;40678897.0;472038858.0;LIME;5671983.0;65839243.0;AI
668;Hacken Token;0.06282;-0.69;0.99;-13.17;40527661.0;645253973.0;HAI;248161.0;3948001.0;AI
672;AIT Protocol;0.3545;1.12;-15.51;-12.36;39963481.0;111950233.0;AIT;1954090.0;5520286.0;AI
681;Only1;0.1414;6.64;36.89;-6.37;38607887.0;273286650.0;LIKE;3703471.0;26251359.0;AI
685;SelfKey;0.007183;0.01;5.08;-13.86;38065138.0;5304969446.0;KEY;9007255.0;1254252383.0;AI
690;Vectorspace AI;0.7437;-0.51;4.9;-12.48;37123326.0;49917054.0;VXV;231933.0;311867.0;AI
692;Graphlinq Chain;0.1086;-0.37;4.63;-1.51;37014567.0;339999895.0;GLQ;1750485.0;16126203.0;AI
694;Aleph.im;0.1491;0.95;-4.81;-29.03;36757960.0;247220482.0;ALEPH;1290177.0;8670265.0;AI
700;PARSIQ;0.137;2.92;3.24;-24.31;35640560.0;260256872.0;PRQ;1650168.0;12044403.0;AI
702;Turbo;0.0005556;-0.0;0.08;-15.01;35332538.0;63674701174.0;TURBO;8857419.0;15935279311.0;AI
706;Lumerin;0.05773;0.3;10.55;-20.32;35018407.0;606615000.0;LMR;447914.0;7759267.0;AI
707;Nuco.cloud;1.09;3.38;23.42;10.01;34976890.0;32030898.0;NCDT;597418.0;547733.0;AI
708;Openfabric AI;0.5652;0.43;-4.28;43.42;34726570.0;61336459.0;OFN;2759721.0;4875908.0;AI
757;Synesis One;0.06406;-0.24;17.61;-21.65;29268059.0;456252758.0;SNS;3154212.0;49201298.0;AI
763;OORT;0.4017;0.42;-0.63;-4.31;28793781.0;71683627.0;OORT;2246585.0;5594586.0;AI
765;VIDT DAO;0.03703;-0.08;5.09;-13.13;28452416.0;770011370.0;VIDT;2701148.0;72886021.0;AI
781;Dock;0.03053;-0.09;6.47;-21.98;26718618.0;876417166.0;DOCK;1488298.0;48806330.0;AI
787;NuNet;0.05214;0.62;3.38;-12.04;26280910.0;504084665.0;NTX;174750.0;3349218.0;AI
809;GameGPT;0.01648;-0.09;1.48;-12.09;23923398.0;1454408582.0;DUEL;23733135.0;1440215225.0;AI
811;DexCheck AI;0.07045;0.22;2.21;-8.12;23887585.0;339422186.0;DCK;1380538.0;19583125.0;AI
842;Optimus AI;0.2299;-0.38;-1.21;-10.89;21846731.0;95034939.0;OPTI;338047.0;1470717.0;AI
851;DeepBrain Chain;0.003932;-0.6;0.23;-16.53;21346538.0;5428952299.0;DBC;644695.0;164167201.0;AI
852;TRVL;0.06724;0.1;9.72;-2.56;21056058.0;313155747.0;TRVL;354962.0;5279305.0;AI
871;Step App;0.00757;-1.95;12.55;-15.29;19152786.0;2530000000.0;FITFI;9880692.0;1264568736.0;AI
904;GT Protocol;2.27;0.56;7.77;-17.22;17547296.0;7732754.0;GTAI;15133318.0;6664131.0;AI
922;Phantasma;0.1335;-0.21;5.79;-3.89;16575562.0;124129198.0;SOUL;167412.0;1253594.0;AI
931;Atlas Navi;0.3137;0.58;16.36;-16.94;16314042.0;51997982.0;NAVI;558234.0;1780585.0;AI
954;Swash;0.01587;0.13;1.43;-16.04;15366707.0;968301137.0;SWASH;214772.0;13524396.0;AI
980;SPECTRE AI;1.55;-0.18;-6.24;-26.48;14073636.0;9093998.0;SPECTRE;364650.0;235627.0;AI
993;PolkaBridge;0.1875;7.75;-9.02;197.77;14080809.0;75106689.0;PBR;1905375.0;10472243.0;AI
999;AIPAD;0.1159;-0.19;7.65;-14.78;13264515.0;114453067.0;AIPAD;576640.0;4958977.0;AI
1000;Matrix AI Network;0.03005;1.15;-5.44;-11.52;13286893.0;442153465.0;MAN;204576.0;6830142.0;AI
1005;Image Generation AI;0.01698;0.65;-3.11;-27.46;13190824.0;776833333.0;IMGNAI;203213.0;12005857.0;AI
1021;Bridge Oracle;0.001535;0.46;-1.31;-36.8;12285727.0;8002167205.0;BRG;1136818.0;740236692.0;AI
